ID,Pregunta,Nivel_Exposicion,Estado,URLs_Evidencia,Accion_Sugerida
1,¿Qué es la trazabilidad en el contexto de las pruebas de software?,0%,VERDE (Seguro),Ninguna,Mantener
2,¿Cuál de las siguientes afirmaciones sería el principal diferenciador de las pruebas de confirmación ?,0%,VERDE (Seguro),Ninguna,Mantener
3,¿Qué técnica de caja negra utiliza como entrada condiciones combinadas?,0%,VERDE (Seguro),Ninguna,Mantener
4,¿ Que és el Desarrollo Guiado por Pruebas de Aceptación DGPA o ATDD?,0%,VERDE (Seguro),Ninguna,Mantener
5,¿Cuál es el propósito principal de una herramienta de gestión de pruebas?,0%,VERDE (Seguro),Ninguna,Mantener
